Tensor_id,ActiveTime,InactiveTime
1468,1,1298
1469,1,1298
1470,1,1298
1471,1,1298
1474,2,1297
1475,639,660
1476,2,1297
1478,3,1296
1479,20,1279
1480,632,667
1481,4,1295
1483,2,1297
1484,1,1298
1485,1,1298
1486,635,664
1487,635,664
1488,1,1298
1489,1,1298
1490,1,1298
1491,1,1298
1494,2,1297
1496,3,1296
1497,3,1296
1498,625,674
1499,4,1295
1501,2,1297
1502,1,1298
1503,1,1298
1504,628,671
1505,628,671
1506,1,1298
1507,1,1298
1508,1,1298
1509,1,1298
1512,2,1297
1514,3,1296
1515,3,1296
1516,620,679
1517,4,1295
1519,2,1297
1520,1,1298
1521,1,1298
1522,621,678
1523,621,678
1524,1,1298
1525,1,1298
1526,1,1298
1527,1,1298
1530,2,1297
1531,614,685
1532,2,1297
1534,3,1296
1535,20,1279
1536,607,692
1537,4,1295
1539,2,1297
1540,1,1298
1541,1,1298
1542,610,689
1543,610,689
1544,1,1298
1545,1,1298
1546,1,1298
1547,1,1298
1550,2,1297
1552,3,1296
1553,3,1296
1554,600,699
1555,4,1295
1557,2,1297
1558,1,1298
1559,1,1298
1560,603,696
1561,603,696
1562,1,1298
1563,1,1298
1564,1,1298
1565,1,1298
1568,2,1297
1570,3,1296
1571,3,1296
1572,595,704
1573,4,1295
1575,2,1297
1576,1,1298
1577,1,1298
1578,596,703
1579,596,703
1580,1,1298
1581,1,1298
1582,1,1298
1583,1,1298
1586,2,1297
1587,589,710
1588,2,1297
1590,3,1296
1591,20,1279
1592,582,717
1593,4,1295
1595,2,1297
1596,1,1298
1597,1,1298
1598,585,714
1599,585,714
1600,1,1298
1601,1,1298
1602,1,1298
1603,1,1298
1606,2,1297
1608,3,1296
1609,3,1296
1610,575,724
1611,4,1295
1613,2,1297
1614,1,1298
1615,1,1298
1616,578,721
1617,578,721
1618,1,1298
1619,1,1298
1620,1,1298
1621,1,1298
1624,2,1297
1626,3,1296
1627,3,1296
1628,570,729
1629,4,1295
1631,2,1297
1632,1,1298
1633,1,1298
1634,571,728
1635,571,728
1636,1,1298
1637,1,1298
1638,1,1298
1639,1,1298
1642,2,1297
1643,564,735
1644,2,1297
1646,3,1296
1647,20,1279
1648,557,742
1649,4,1295
1651,2,1297
1652,1,1298
1653,1,1298
1654,560,739
1655,560,739
1656,1,1298
1657,1,1298
1658,1,1298
1659,1,1298
1662,2,1297
1664,3,1296
1665,3,1296
1666,550,749
1667,4,1295
1669,2,1297
1670,1,1298
1671,1,1298
1672,553,746
1673,553,746
1674,1,1298
1675,1,1298
1676,1,1298
1677,1,1298
1680,2,1297
1682,3,1296
1683,3,1296
1684,545,754
1685,4,1295
1687,2,1297
1688,1,1298
1689,1,1298
1690,546,753
1691,546,753
1692,1,1298
1693,1,1298
1694,1,1298
1695,1,1298
1698,2,1297
1699,539,760
1700,2,1297
1702,3,1296
1703,20,1279
1704,532,767
1705,4,1295
1707,2,1297
1708,1,1298
1709,1,1298
1710,535,764
1711,535,764
1712,1,1298
1713,1,1298
1714,1,1298
1715,1,1298
1718,2,1297
1720,3,1296
1721,3,1296
1722,525,774
1723,4,1295
1725,2,1297
1726,1,1298
1727,1,1298
1728,528,771
1729,528,771
1730,1,1298
1731,1,1298
1732,1,1298
1733,1,1298
1736,2,1297
1738,3,1296
1739,3,1296
1740,520,779
1741,4,1295
1743,2,1297
1744,1,1298
1745,1,1298
1746,521,778
1747,521,778
1748,1,1298
1749,1,1298
1750,1,1298
1751,1,1298
1754,2,1297
1755,514,785
1756,2,1297
1758,3,1296
1759,20,1279
1760,507,792
1761,4,1295
1763,2,1297
1764,1,1298
1765,1,1298
1766,510,789
1767,510,789
1768,1,1298
1769,1,1298
1770,1,1298
1771,1,1298
1774,2,1297
1776,3,1296
1777,3,1296
1778,500,799
1779,4,1295
1781,2,1297
1782,1,1298
1783,1,1298
1784,503,796
1785,503,796
1786,1,1298
1787,1,1298
1788,1,1298
1789,1,1298
1792,2,1297
1794,3,1296
1795,3,1296
1796,495,804
1797,4,1295
1799,2,1297
1800,1,1298
1801,1,1298
1802,496,803
1803,496,803
1804,1,1298
1805,1,1298
1806,1,1298
1807,1,1298
1810,2,1297
1811,489,810
1812,2,1297
1814,3,1296
1815,20,1279
1816,482,817
1817,4,1295
1819,2,1297
1820,1,1298
1821,1,1298
1822,485,814
1823,485,814
1824,1,1298
1825,1,1298
1826,1,1298
1827,1,1298
1830,2,1297
1832,3,1296
1833,3,1296
1834,475,824
1835,4,1295
1837,2,1297
1838,1,1298
1839,1,1298
1840,478,821
1841,478,821
1842,1,1298
1843,1,1298
1844,1,1298
1845,1,1298
1848,2,1297
1850,3,1296
1851,3,1296
1852,470,829
1853,4,1295
1855,2,1297
1856,1,1298
1857,1,1298
1858,471,828
1859,471,828
1860,1,1298
1861,1,1298
1862,1,1298
1863,1,1298
1866,2,1297
1867,464,835
1868,2,1297
1870,3,1296
1871,20,1279
1872,457,842
1873,4,1295
1875,2,1297
1876,1,1298
1877,1,1298
1878,460,839
1879,460,839
1880,1,1298
1881,1,1298
1882,1,1298
1883,1,1298
1886,2,1297
1888,3,1296
1889,3,1296
1890,450,849
1891,4,1295
1893,2,1297
1894,1,1298
1895,1,1298
1896,453,846
1897,453,846
1898,1,1298
1899,1,1298
1900,1,1298
1901,1,1298
1904,2,1297
1906,3,1296
1907,3,1296
1908,445,854
1909,4,1295
1911,2,1297
1912,1,1298
1913,1,1298
1914,446,853
1915,446,853
1916,1,1298
1917,1,1298
1918,1,1298
1919,1,1298
1922,2,1297
1923,439,860
1924,2,1297
1926,3,1296
1927,20,1279
1928,432,867
1929,4,1295
1931,2,1297
1932,1,1298
1933,1,1298
1934,435,864
1935,435,864
1936,1,1298
1937,1,1298
1938,1,1298
1939,1,1298
1942,2,1297
1944,3,1296
1945,3,1296
1946,425,874
1947,4,1295
1949,2,1297
1950,1,1298
1951,1,1298
1952,428,871
1953,428,871
1954,1,1298
1955,1,1298
1956,1,1298
1957,1,1298
1960,2,1297
1962,3,1296
1963,3,1296
1964,420,879
1965,4,1295
1967,2,1297
1968,1,1298
1969,1,1298
1970,421,878
1971,421,878
1972,1,1298
1973,1,1298
1974,1,1298
1975,1,1298
1978,2,1297
1979,414,885
1980,2,1297
1982,3,1296
1983,20,1279
1984,407,892
1985,4,1295
1987,2,1297
1988,1,1298
1989,1,1298
1990,410,889
1991,410,889
1992,1,1298
1993,1,1298
1994,1,1298
1995,1,1298
1998,2,1297
2000,3,1296
2001,3,1296
2002,400,899
2003,4,1295
2005,2,1297
2006,1,1298
2007,1,1298
2008,403,896
2009,403,896
2010,1,1298
2011,1,1298
2012,1,1298
2013,1,1298
2016,2,1297
2018,3,1296
2019,3,1296
2020,395,904
2021,4,1295
2023,2,1297
2024,1,1298
2025,1,1298
2026,396,903
2027,396,903
2028,1,1298
2029,1,1298
2030,1,1298
2031,1,1298
2034,2,1297
2035,389,910
2036,2,1297
2038,3,1296
2039,20,1279
2040,382,917
2041,4,1295
2043,2,1297
2044,1,1298
2045,1,1298
2046,385,914
2047,385,914
2048,1,1298
2049,1,1298
2050,1,1298
2051,1,1298
2054,2,1297
2056,3,1296
2057,3,1296
2058,375,924
2059,4,1295
2061,2,1297
2062,1,1298
2063,1,1298
2064,378,921
2065,378,921
2066,1,1298
2067,1,1298
2068,1,1298
2069,1,1298
2072,2,1297
2074,3,1296
2075,3,1296
2076,370,929
2077,4,1295
2079,2,1297
2080,1,1298
2081,1,1298
2082,371,928
2083,371,928
2084,1,1298
2085,1,1298
2086,1,1298
2087,1,1298
2090,2,1297
2091,364,935
2092,2,1297
2094,3,1296
2095,20,1279
2096,357,942
2097,4,1295
2099,2,1297
2100,1,1298
2101,1,1298
2102,360,939
2103,360,939
2104,1,1298
2105,1,1298
2106,1,1298
2107,1,1298
2110,2,1297
2112,3,1296
2113,3,1296
2114,350,949
2115,4,1295
2117,2,1297
2118,1,1298
2119,1,1298
2120,353,946
2121,353,946
2122,1,1298
2123,1,1298
2124,1,1298
2125,1,1298
2128,2,1297
2130,3,1296
2131,3,1296
2132,345,954
2133,4,1295
2135,2,1297
2136,1,1298
2137,1,1298
2138,346,953
2139,346,953
2140,1,1298
2141,1,1298
2142,1,1298
2143,1,1298
2146,2,1297
2147,339,960
2148,2,1297
2150,3,1296
2151,20,1279
2152,332,967
2153,4,1295
2155,2,1297
2156,1,1298
2157,1,1298
2158,335,964
2159,335,964
2160,1,1298
2161,1,1298
2162,1,1298
2163,1,1298
2166,2,1297
2168,3,1296
2169,3,1296
2170,325,974
2171,4,1295
2173,2,1297
2174,1,1298
2175,1,1298
2176,328,971
2177,328,971
2178,1,1298
2179,1,1298
2180,1,1298
2181,1,1298
2184,2,1297
2186,3,1296
2187,3,1296
2188,320,979
2189,4,1295
2191,2,1297
2192,1,1298
2193,1,1298
2194,321,978
2195,321,978
2196,1,1298
2197,1,1298
2198,1,1298
2199,1,1298
2202,2,1297
2203,314,985
2204,2,1297
2206,3,1296
2207,20,1279
2208,307,992
2209,4,1295
2211,2,1297
2212,1,1298
2213,1,1298
2214,310,989
2215,310,989
2216,1,1298
2217,1,1298
2218,1,1298
2219,1,1298
2222,2,1297
2224,3,1296
2225,3,1296
2226,300,999
2227,4,1295
2229,2,1297
2230,1,1298
2231,1,1298
2232,303,996
2233,303,996
2234,1,1298
2235,1,1298
2236,1,1298
2237,1,1298
2240,2,1297
2242,3,1296
2243,3,1296
2244,295,1004
2245,4,1295
2247,2,1297
2248,1,1298
2249,1,1298
2250,296,1003
2251,296,1003
2252,1,1298
2253,1,1298
2254,1,1298
2255,1,1298
2258,2,1297
2259,289,1010
2260,2,1297
2262,3,1296
2263,20,1279
2264,282,1017
2265,4,1295
2267,2,1297
2268,1,1298
2269,1,1298
2270,285,1014
2271,285,1014
2272,1,1298
2273,1,1298
2274,1,1298
2275,1,1298
2278,2,1297
2280,3,1296
2281,3,1296
2282,275,1024
2283,4,1295
2285,2,1297
2286,1,1298
2287,1,1298
2288,278,1021
2289,278,1021
2290,1,1298
2291,1,1298
2292,1,1298
2293,1,1298
2296,2,1297
2298,3,1296
2299,3,1296
2300,270,1029
2301,4,1295
2303,2,1297
2304,1,1298
2305,1,1298
2306,271,1028
2307,271,1028
2308,1,1298
2309,1,1298
2310,1,1298
2311,1,1298
2314,2,1297
2315,264,1035
2316,2,1297
2318,3,1296
2319,20,1279
2320,257,1042
2321,4,1295
2323,2,1297
2324,1,1298
2325,1,1298
2326,260,1039
2327,260,1039
2328,1,1298
2329,1,1298
2330,1,1298
2331,1,1298
2334,2,1297
2336,3,1296
2337,3,1296
2338,250,1049
2339,4,1295
2341,2,1297
2342,1,1298
2343,1,1298
2344,253,1046
2345,253,1046
2346,1,1298
2347,1,1298
2348,1,1298
2349,1,1298
2352,2,1297
2354,3,1296
2355,3,1296
2356,245,1054
2357,4,1295
2359,2,1297
2360,1,1298
2361,1,1298
2362,246,1053
2363,246,1053
2364,1,1298
2365,1,1298
2366,1,1298
2367,1,1298
2370,2,1297
2371,239,1060
2372,2,1297
2374,3,1296
2375,20,1279
2376,232,1067
2377,4,1295
